Source,Target,Weight
Surpanakha,Rama,7
Surpanakha,Lakshmana,1
Surpanakha,Khara,2
Surpanakha,Dushana,1
Surpanakha,Ravana,1
Sachi,Sarabhanga,1
Tamra,Kasyapa,1
Ravana,Akampana,4
Ravana,Rama,4
Ravana,Maricha,3
Ravana,Surpanakha,1
Ravana,Sita,5
Ravana,Jatayu,1
Viswamitra,Maricha,1
Viswamitra,Rama,1
Sutikshna,Rama,1
Sutikshna,Lakshmana,2
Bharata,Rama,1
Jatayu,Ravana,1
Jatayu,Lakshmana,2
Agastya,Ilvala,1
Agastya,Lakshmana,1
Agastya,Rama,2
Rama,Lakshmana,46
Rama,Sarabhanga,1
Rama,Indra,1
Rama,Sutikshna,2
Rama,Sita,8
Rama,Agastya,1
Rama,Dasharatha,4
Rama,Surpanakha,1
Rama,Khara,3
Rama,Ravana,1
Rama,Kaikeyi,2
Rama,Sumitra,2
Rama,Prasravana,1
Rama,Sugriva,1
Rama,Sabari,3
Krodhavasa,Kasyapa,1
Lakshmana,Rama,21
Lakshmana,Viradha,1
Lakshmana,Agastya,1
Lakshmana,Ravana,1
Lakshmana,Maricha,1
Lakshmana,Sita,2
Lakshmana,Prasravana,1
Lakshmana,Ayomukha,2
Lakshmana,Kabandha,1
Sugriva,Lakshmana,1
Vishrava,Jatayu,1
Kabandha,Lakshmana,2
Kabandha,Sugriva,2
Pampa,Sabari,1
Kubera,Jatayu,2
Akampana,Ravana,3
Dushana,Khara,2
Sarabhanga,Lakshmana,2
Sarabhanga,Rama,1
Diti,Kasyapa,1
Maricha,Ravana,1
Maricha,Rama,1
Yama,Khara,1
Viradha,Rama,2
Viradha,Lakshmana,4
Khara,Surpanakha,2
Khara,Dushana,1
Khara,Rama,1
Danu,Kasyapa,1
Sita,Lakshmana,14
Sita,Rama,12
Sita,Dasharatha,1
Sita,Ravana,2
Sita,Sumitra,1
Manu,Kasyapa,1
Aditi,Kasyapa,1
Sumitra,Sita,1
Dasharatha,Maricha,1
Dasharatha,Rama,1
Dasharatha,Kaikeyi,1
Dasharatha,Lakshmana,1
Indra,Lakshmana,4
Indra,Sarabhanga,1
Indra,Sutikshna,2
Indra,Maricha,1
Indra,Rama,1
Anala,Kasyapa,1
Kalika,Kasyapa,1
