Source,Target,Weight
Prasravana,Rama,7
Prasravana,Khara,1
Prasravana,Ravana,3
Prasravana,Sita,3
Prasravana,Malyavan,1
Prasravana,Lakshmana,2
Bhaga,Brahma,4
Bhaga,Vishnu,4
Bhaga,Agni,4
Bhaga,Indra,4
Bhaga,Kubera,4
Bhaga,Dhata,4
Bhaga,Vidhata,4
Bhaga,Vayu,4
Bhaga,Ananta,4
Bhaga,Gayatri,4
Bhaga,Vasu,4
Syenagami,Pruthugriva,5
Syenagami,Yagnasatru,5
Syenagami,Vihanga,5
Syenagami,Durjaya,5
Syenagami,Karaveeraksha,5
Syenagami,Parusha,6
Syenagami,Kalakarmuka,6
Syenagami,Meghamali,6
Syenagami,Mahamali,6
Syenagami,Sarpasya,6
Syenagami,Rudhirasana,3
Syenagami,Khara,6
Syenagami,Rama,8
Takshaka,Vasuki,1
Takshaka,Ravana,1
Takshaka,Kubera,2
Subhadra,Indra,1
Subhadra,Ravana,2
Subhadra,Kubera,1
Subhadra,Garuda,1
Kalakarmuka,Pruthugriva,6
Kalakarmuka,Yagnasatru,5
Kalakarmuka,Vihanga,5
Kalakarmuka,Durjaya,5
Kalakarmuka,Karaveeraksha,5
Kalakarmuka,Parusha,5
Kalakarmuka,Meghamali,5
Kalakarmuka,Mahamali,5
Kalakarmuka,Sarpasya,5
Kalakarmuka,Rudhirasana,2
Kalakarmuka,Khara,6
Kalakarmuka,Dushana,1
Kalakarmuka,Mahakapala,1
Kalakarmuka,Sthulaksha,1
Kalakarmuka,Pramathi,1
Kalakarmuka,Rama,3
Sthulaksha,Parusha,1
Sthulaksha,Meghamali,1
Sthulaksha,Mahamali,1
Sthulaksha,Sarpasya,1
Sthulaksha,Rudhirasana,1
Sthulaksha,Khara,1
Sthulaksha,Dushana,2
Sthulaksha,Mahakapala,3
Sthulaksha,Pramathi,3
Sthulaksha,Trishira,1
Sthulaksha,Rama,4
Dharma,Rama,12
Dharma,Sita,2
Dharma,Sutikshna,1
Dharma,Vidhata,4
Dharma,Vayu,4
Dharma,Ananta,4
Dharma,Gayatri,4
Dharma,Vasu,4
Dharma,Varuna,4
Dharma,Kartikeya,4
Dharma,Brahma,3
Dharma,Vishnu,3
Dharma,Agni,3
Dharma,Indra,3
Dharma,Agastya,2
Dharma,Lakshmana,1
Airavata,Iravati,2
Airavata,Rama,1
Airavata,Khara,1
Airavata,Indra,1
Airavata,Ravana,2
Bhadramada,Rama,4
Bhadramada,Krodhavasa,2
Bhadramada,Mrugi,2
Bhadramada,Mrugamanda,2
Bhadramada,Vishnu,3
Bhadramada,Mathangi,2
Bhadramada,Sardooli,2
Bhadramada,Sweta,2
Bhadramada,Surabhi,2
Bhadramada,Surasa,2
Bhadramada,Kadru,3
Bhadramada,Iravati,1
Agastya,Sutikshna,5
Agastya,Rama,43
Agastya,Dasharatha,2
Agastya,Sita,6
Agastya,Lakshmana,18
Agastya,Vatapi,2
Agastya,Ilvala,4
Agastya,Sudarshana,2
Agastya,Janaka,1
Agastya,Varuna,1
Agastya,Kartikeya,1
Agastya,Vishwakarma,2
Agastya,Brahma,2
Agastya,Indra,2
Agastya,Vishnu,1
Agastya,Khara,1
Narada,Sutikshna,2
Narada,Rama,1
Narada,Kasyapa,1
Rama,Brahma,12
Rama,Sita,815
Rama,Lakshmana,810
Rama,Indra,97
Rama,Viradha,46
Rama,Janaka,30
Rama,Kaikeyi,35
Rama,Dasharatha,128
Rama,Ikshvaku,10
Rama,Garuda,10
Rama,Kausalya,11
Rama,Kubera,4
Rama,Rambha,1
Rama,Sarabhanga,47
Rama,Sachi,4
Rama,Sutikshna,48
Rama,Mandakini,4
Rama,Pampa,45
Rama,Ganga,2
Rama,Kasyapa,6
Rama,Gautama,1
Rama,Devi,5
Rama,Dharmavrata,2
Rama,Sudarshana,4
Rama,Raghu,22
Rama,Vishnu,13
Rama,Agni,4
Rama,Vidhata,3
Rama,Vayu,3
Rama,Ananta,3
Rama,Gayatri,3
Rama,Vasu,4
