Source,Target,Weight
Vasishta,Rama,2
Vasishta,Kaikeyi,1
Vasishta,Siddhartha,2
Vasishta,Bharata,3
Vasishta,Bharadwaja,3
Ravana,Bharata,1
Sagara,Asamanja,1
Viswamitra,Janaka,1
Tamasa,Lakshmana,1
Bharata,Rama,7
Bharata,Dasharatha,2
Bharata,Kaikeyi,1
Bharata,Sumitra,3
Bharata,Kausalya,2
Bharata,Lakshmana,2
Bharata,Shatrughna,3
Bharata,Guha,5
Bharata,Bharadwaja,8
Bharata,Vasishta,2
Rama,Sumantra,9
Rama,Vasishta,4
Rama,Kaikeyi,2
Rama,Dasharatha,10
Rama,Raghu,1
Rama,Bharata,14
Rama,Kausalya,4
Rama,Lakshmana,29
Rama,Sita,9
Rama,Suyajna,2
Rama,Trijata,3
Rama,Guha,5
Rama,Shatrughna,1
Rama,Bharadwaja,1
Shiva,Sumantra,1
Ganga,Sumantra,2
Ganga,Guha,2
Ganga,Rama,1
Ganga,Lakshmana,2
Ganga,Bharata,1
Ganga,Shatrughna,1
Kamadhenu,Indra,1
Atri,Sita,1
Lakshmana,Kausalya,1
Lakshmana,Rama,15
Lakshmana,Sita,4
Lakshmana,Brahma,1
Lakshmana,Guha,3
Lakshmana,Bharata,1
Angiras,Trijata,1
Guha,Rama,3
Guha,Bharata,8
Manthara,Rama,1
Manthara,Kaikeyi,2
Brihaspati,Vasishta,1
Sumantra,Kaikeyi,1
Sumantra,Sita,1
Sumantra,Dasharatha,1
Sumantra,Rama,6
Sumantra,Guha,2
Kaikeyi,Manthara,7
Kaikeyi,Dasharatha,4
Kaikeyi,Sumantra,1
Kaikeyi,Raghu,1
Kaikeyi,Rama,4
Kaikeyi,Bharata,3
Kaikeyi,Sumitra,1
Bhrigu,Trijata,1
Anasuya,Sita,2
Bharadwaja,Rama,2
Bharadwaja,Lakshmana,1
Bharadwaja,Bharata,12
Janaka,Sita,2
Janaka,Rama,1
Janaka,Lakshmana,1
Sita,Rama,7
Sita,Suyajna,2
Sita,Lakshmana,5
Sita,Dasharatha,1
Sita,Kaikeyi,1
Sita,Anasuya,8
Sita,Janaka,1
Siddhartha,Kaikeyi,2
Kausalya,Rama,3
Kausalya,Dasharatha,5
Kausalya,Maharaja,1
Kausalya,Sumitra,2
Kausalya,Bharata,6
Sarayu,Sagara,1
Trijata,Rama,1
Mandakini,Bharata,1
Sumitra,Rama,1
Sumitra,Kausalya,1
Sumitra,Dasharatha,1
Sumitra,Lakshmana,1
Dasharatha,Rama,11
Dasharatha,Vasishta,1
Dasharatha,Sumantra,3
Dasharatha,Bharata,3
Dasharatha,Kaikeyi,3
Dasharatha,Kausalya,3
Dasharatha,Bharadwaja,2
Dasharatha,Shatrughna,1
Indra,Vasishta,1
Indra,Kamadhenu,2
Shatrughna,Lakshmana,1
Shatrughna,Bharata,2
