Source,Target,Weight
Prasravana,Rama,1
Bhaga,Brahma,1
Bhaga,Aryama,1
Bhaga,Indra,1
Yuddhajit,Kaikeyi,2
Yuddhajit,Bharata,15
Yuddhajit,Shatrughna,2
Yuddhajit,Sumantra,1
Kama,Kaikeyi,1
Markandeya,Maudgalya,2
Markandeya,Kasyapa,2
Markandeya,Katyayana,2
Markandeya,Gautama,2
Markandeya,Jabali,2
Markandeya,Vasishta,3
Shukra,Sumantra,1
Shukra,Guha,1
Shukra,Brihaspati,1
Tamasa,Rama,10
Tamasa,Sumantra,1
Tamasa,Sita,2
Tamasa,Lakshmana,5
Dharma,Kausalya,5
Dharma,Kasyapa,1
Dharma,Rama,9
Dharma,Dasharatha,1
Dharma,Smriti,2
Dharma,Dhriti,2
Dharma,Kartikeya,2
Dharma,Chandra,2
Dharma,Brihaspati,2
Dharma,Narada,1
Hema,Bharadwaja,2
Hema,Ghritachi,1
Hema,Visvachi,1
Hema,Misrakesi,1
Hema,Alambusa,1
Hema,Nagadantha,1
Hema,Hima,1
Agastya,Sita,1
Agastya,Rama,1
Agastya,Lakshmana,2
Agastya,Brahma,1
Agastya,Indra,1
Agastya,Viswamitra,1
Narada,Rama,6
Narada,Kartikeya,2
Narada,Chandra,2
Narada,Brihaspati,2
Narada,Smriti,1
Narada,Dhriti,1
Narada,Nandana,1
Narada,Tumburu,1
Narada,Gopa,1
Bana,Kukshi,1
Bana,Vikukshi,4
Bana,Anaranya,4
Rama,Dasharatha,1173
Rama,Brahma,13
Rama,Ravana,2
Rama,Vishnu,37
Rama,Kausalya,442
Rama,Aditi,7
Rama,Indra,70
Rama,Brihaspati,25
Rama,Bharata,730
Rama,Sachi,4
Rama,Yama,17
Rama,Lakshmana,630
Rama,Kasyapa,3
Rama,Maricha,1
Rama,Vasishta,66
Rama,Sumantra,295
Rama,Parjanya,9
Rama,Rahu,3
Rama,Punarvasu,1
Rama,Sita,773
Rama,Sumitra,46
Rama,Nahusha,8
Rama,Yayati,10
Rama,Gayatri,2
Rama,Ikshvaku,14
Rama,Manthara,27
Rama,Raghu,48
Rama,Kaikeyi,308
Rama,Shatrughna,48
Rama,Devi,50
Rama,Ganga,49
Rama,Shiva,9
Rama,Kubera,19
Rama,Varuna,8
Rama,Agni,2
Rama,Satrunjaya,6
Rama,Chitra,8
Rama,Rohini,2
Rama,Maharaja,7
Rama,Kandu,2
Rama,Viswamitra,12
Rama,Smriti,6
Rama,Dhriti,6
Rama,Kartikeya,7
Rama,Chandra,7
Rama,Vritra,2
Rama,Vinata,3
Rama,Garuda,7
Rama,Janaka,22
Rama,Surya,3
Rama,Satyavan,3
Rama,Dyumatsena,3
Rama,Suvarchala,2
Rama,Suyajna,30
Rama,Chitraratha,2
Rama,Trijata,31
Rama,Bhrigu,1
Rama,Angiras,1
Rama,Sarayu,3
Rama,Sagara,3
Rama,Asamanja,2
Rama,Sona,1
Rama,Matali,1
Rama,Timidhvaja,6
Rama,Subahu,4
Rama,Sandhya,3
Rama,Syandika,2
Rama,Manu,1
Rama,Bhagiratha,5
Rama,Guha,63
Rama,Yamuna,9
Rama,Bharadwaja,34
Rama,Kalindi,2
Rama,Jambu,1
Rama,Lakshmi,2
Rama,Valmiki,2
Rama,Malyavan,1
Rama,Dilipa,6
Rama,Dhata,2
Rama,Mandakini,14
Rama,Kovidara,1
Rama,Nandana,2
Rama,Jabali,11
Rama,Himavan,2
Rama,Bharta,1
Rama,Khara,10
Rama,Atri,15
Rama,Anasuya,16
Rama,Urmila,1
Shiva,Kubera,2
Shiva,Varuna,2
Shiva,Agni,2
Shiva,Indra,2
Shiva,Dasharatha,1
Shiva,Vishnu,3
Shiva,Brahma,1
Shiva,Kausalya,1
Shiva,Sita,1
Shiva,Raghu,1
Shiva,Sagara,2
Shiva,Bhagiratha,2
Shiva,Ganga,2
Shiva,Sumantra,1
Dundhumara,Sagara,1
Dundhumara,Saibya,1
Dundhumara,Dilipa,1
Dundhumara,Janamejaya,1
Dundhumara,Nahusha,1
Dundhumara,Trishanku,2
Dundhumara,Yuvanashva,1
Dundhumara,Mandhata,1
Saraswati,Ganga,1
Saraswati,Veeramatsya,1
Saraswati,Bharata,2
Saraswati,Bharunda,1
Valmiki,Sita,2
Valmiki,Lakshmana,3
Matali,Indra,1
Syandika,Sita,1
Mandhata,Trishanku,1
Mandhata,Yuvanashva,1
Mandhata,Susandhi,2
Mandhata,Dhruvasandhi,4
Mandhata,Prasenajit,1
Mandhata,Bharata,1
Chitraratha,Dasharatha,2
Chitraratha,Lakshmana,1
Chitraratha,Bharata,1
Chitraratha,Bharadwaja,2
Chitraratha,Kubera,1
Nagadantha,Bharadwaja,2
Nagadantha,Ghritachi,1
Nagadantha,Visvachi,1
Nagadantha,Misrakesi,1
Nagadantha,Alambusa,1
Nagadantha,Hima,1
Vayu,Agni,1
Vayu,Chandra,1
Torana,Bharata,4
Torana,Dharmavardhana,1
Torana,Dasharatha,1
Torana,Varutha,1
Kutikoshtika,Anshudhana,1
Kutikoshtika,Pragvata,2
Kutikoshtika,Ganga,1
Kutikoshtika,Bharata,2
Kutikoshtika,Dharmavardhana,1
Sudama,Vishnu,3
Sudama,Hladini,2
Sudama,Satadru,2
Prasenajit,Susandhi,2
Prasenajit,Dhruvasandhi,4
Prasenajit,Bharata,3
Kasyapa,Maricha,1
Kasyapa,Dasharatha,2
Kasyapa,Indra,1
Kasyapa,Kausalya,1
Kasyapa,Maudgalya,2
Kasyapa,Katyayana,2
Kasyapa,Gautama,2
Kasyapa,Jabali,2
Kasyapa,Vasishta,2
Kasyapa,Brahma,6
Kasyapa,Marichi,4
Kasyapa,Surya,4
Kasyapa,Manu,5
Gayatri,Vishnu,2
Salyakarsna,Satadru,2
Salyakarsna,Eladhana,2
Salyakarsna,Silavaha,4
Salyakarsna,Bharata,2
Sthanumati,Kapivati,1
Sthanumati,Bharata,2
Sthanumati,Ekasala,1
Sthanumati,Vinata,1
Sumantra,Dasharatha,77
Sumantra,Indra,7
Sumantra,Vasishta,6
Sumantra,Kaikeyi,21
Sumantra,Satrunjaya,1
Sumantra,Sita,20
Sumantra,Kubera,3
Sumantra,Chitra,3
Sumantra,Ikshvaku,4
Sumantra,Sumitra,4
Sumantra,Lakshmana,28
Sumantra,Raghu,1
Sumantra,Ganga,7
Sumantra,Guha,14
Sumantra,Kausalya,12
Sumantra,Bharata,34
Sumantra,Devi,2
Sumantra,Shatrughna,6
Sumantra,Mandakini,3
Lakshmi,Dasharatha,1
Lakshmi,Sita,3
Lakshmi,Bharata,2
Lakshmi,Vishnu,1
Maudgalya,Katyayana,2
Maudgalya,Gautama,2
Maudgalya,Jabali,2
Maudgalya,Vasishta,3
Dilipa,Sagara,1
Dilipa,Saibya,1
Dilipa,Janamejaya,1
Dilipa,Nahusha,2
Dilipa,Dasharatha,1
Dilipa,Bharata,1
Dilipa,Asamanja,3
Dilipa,Anshuman,2
Dilipa,Bhagiratha,4
Khara,Ravana,5
Anaranya,Vikukshi,1
Anaranya,Prithu,4
Anaranya,Trishanku,2
Maitra,Ganga,1
Maitra,Bharata,1
Manu,Ikshvaku,8
Manu,Bharata,2
Manu,Brahma,5
Manu,Marichi,4
Manu,Surya,7
Aditi,Kausalya,5
Aditi,Indra,2
Aditi,Dhata,4
Satyavan,Sita,1
Satyavan,Surya,1
Satyavan,Dyumatsena,1
Ekasala,Kapivati,1
Ekasala,Bharata,3
Ekasala,Vinata,1
Veeramatsya,Ganga,1
Veeramatsya,Bharata,2
Veeramatsya,Bharunda,1
Veeramatsya,Kulinga,1
Kulinga,Satyopayachana,1
Kulinga,Abhikala,1
Kulinga,Bharata,3
Kulinga,Bharunda,1
Kulinga,Yamuna,1
Satrunjaya,Suyajna,2
Satrunjaya,Dasharatha,1
Dasharatha,Bharata,246
Dasharatha,Shatrughna,21
Dasharatha,Indra,35
Dasharatha,Varuna,3
Dasharatha,Brahma,4
Dasharatha,Yama,13
Dasharatha,Brihaspati,2
Dasharatha,Ikshvaku,11
Dasharatha,Lakshmana,97
Dasharatha,Vasishta,25
Dasharatha,Vamadeva,2
Dasharatha,Sita,87
Dasharatha,Vishnu,3
Dasharatha,Raghu,14
Dasharatha,Kaikeyi,393
Dasharatha,Kausalya,197
Dasharatha,Vaijayanta,3
Dasharatha,Timidhvaja,1
Dasharatha,Manthara,11
Dasharatha,Sumitra,29
Dasharatha,Devi,18
Dasharatha,Yayati,5
Dasharatha,Vali,1
Dasharatha,Kubera,2
Dasharatha,Agni,1
Dasharatha,Maharaja,23
Dasharatha,Parjanya,1
Dasharatha,Ashwapati,1
Dasharatha,Sagara,2
Dasharatha,Asamanja,2
Dasharatha,Siddhartha,2
Dasharatha,Rahu,1
Dasharatha,Garuda,2
Dasharatha,Janaka,6
Dasharatha,Ganga,3
Dasharatha,Bharadwaja,6
Dasharatha,Jambu,1
Dasharatha,Sarayu,10
Dasharatha,Bodhibhavana,1
Dasharatha,Dharmavardhana,1
Dasharatha,Varutha,1
Dasharatha,Nahusha,1
Dasharatha,Guha,4
Dasharatha,Sudhanva,1
Dasharatha,Nabhaga,4
Dasharatha,Aja,9
Dasharatha,Suvrata,4
