Source,Target,Weight
Subahu,Lakshmana,1
Sanatkumara,Sumantra,1
Vasishta,Dasharatha,1
Vasishta,Viswamitra,3
Vasishta,Brahma,1
Vasishta,Kamadhenu,1
Vasishta,Janaka,1
Vasishta,Parasurama,1
Sagara,Bhrigu,1
Sagara,Anshuman,1
Sagara,Viswamitra,1
Viswamitra,Ravana,1
Viswamitra,Dasharatha,2
Viswamitra,Rama,8
Viswamitra,Janaka,2
Viswamitra,Vasishta,7
Viswamitra,Kamadhenu,1
Viswamitra,Brahma,2
Viswamitra,Trishanku,2
Sunahsepha,Viswamitra,2
Raghu,Viswamitra,2
Kusa,Kusanabha,1
Bhagiratha,Viswamitra,1
Bharata,Rama,1
Jamadagni,Rama,2
Vishnu,Shiva,2
Vishnu,Brahma,1
Brahma,Kusanabha,1
Brahma,Bhagiratha,1
Brahma,Viswamitra,6
Renuka,Rama,1
Shiva,Bhagiratha,1
Shiva,Brahma,1
Satananda,Viswamitra,1
Satananda,Rama,1
Gautama,Ahalya,2
Gautama,Viswamitra,1
Gautama,Rama,1
Rama,Sita,2
Rama,Kusa,1
Rama,Viswamitra,11
Rama,Lakshmana,2
Rama,Sagara,1
Rama,Kasyapa,1
Rama,Rambha,1
Rama,Janaka,1
Rama,Parasurama,1
Ganga,Viswamitra,2
Valmiki,Narada,1
Agni,Janaka,1
Agni,Sita,1
Tataka,Lakshmana,1
Gadhi,Rama,1
Gadhi,Vasishta,1
Lakshmana,Viswamitra,1
Santhana,Rama,1
Himavan,Viswamitra,2
Himavan,Asita,1
Varuna,Rama,1
Bhriguprasravana,Asita,1
Kasyapa,Diti,1
Mandavi,Shatrughna,1
Diti,Kasyapa,4
Vishala,Viswamitra,1
Maricha,Lakshmana,1
Sabala,Brahma,1
Janaka,Lakshmana,1
Janaka,Shatrughna,1
Sita,Lakshmana,1
Paka,Trishanku,1
Aditi,Vishnu,2
Chandala,Viswamitra,1
Kausalya,Janaka,1
Kausalya,Sita,1
Dasharatha,Sumantra,2
Dasharatha,Ravana,1
Dasharatha,Janaka,1
Dasharatha,Rama,1
Shanta,Sanatkumara,1
Indra,Romapada,1
Indra,Viswamitra,3
Indra,Ahalya,1
Indra,Trishanku,2
Indra,Rambha,1
Indra,Parasurama,1
Parasurama,Jamadagni,2
