Source,Target,Weight
Indrajit,Ravana,2
Indrajit,Kumbhakarna,1
Indrajit,Sita,1
Bhaga,Rama,1
Bhaga,Brahma,1
Talajangha,Bharata,1
Talajangha,Asita,3
Kama,Rama,12
Kama,Shiva,24
Kama,Raghu,2
Kama,Lakshmana,2
Kama,Kusika,1
Kama,Viswamitra,3
Kama,Haridradaitya,7
Kama,Prasamana,7
Kama,Sarchirmali,7
Kama,Dhri,7
Kama,Mali,7
Kama,Vrtimanta,7
Kama,Ruchira,7
Kama,Pitrusaumanasa,7
Kama,Makara,7
Kama,Kara,7
Kama,Dhana,7
Kama,Dhanya,7
Kama,Roopa,7
Kama,Kamaruchi,7
Kama,Moha,7
Kama,Avarana,7
Kama,Jrumbhaka,7
Kama,Sarvanabha,7
Kama,Santhana,7
Kama,Varuna,7
Kama,Rambha,3
Kama,Indra,1
Mahapadma,Airavata,2
Mahapadma,Indra,2
Mahapadma,Anjana,2
Mahapadma,Vishnu,2
Shukra,Manthara,1
Shukra,Virochana,1
Shukra,Rama,2
Shukra,Bhrigu,2
Shukra,Vishnu,2
Shukra,Indra,1
Nila,Kubera,1
Nila,Vishwakarma,1
Nila,Nala,2
Nila,Agni,2
Nila,Hanuman,1
Nila,Sugriva,1
Nila,Surya,1
Nila,Vali,1
Tamasa,Narada,1
Tamasa,Valmiki,6
Tamasa,Bharadwaja,1
Udgata,Agni,1
Udgata,Adhvaryu,3
Udgata,Mahishi,1
Udgata,Parivritti,1
Udgata,Vavaata,1
Udgata,Palakali,1
Udgata,Brahma,4
Udgata,Dasharatha,1
Kusa,Valmiki,5
Kusa,Lava,13
Kusa,Sita,1
Kusa,Ravana,2
Kusa,Rama,7
Kusa,Lakshmana,1
Kusa,Shatrughna,1
Kusa,Bharata,1
Kusa,Brahma,3
Kusa,Dharma,2
Kusa,Kusamba,4
Kusa,Kusanabha,8
Kusa,Vasu,4
Kusa,Viswamitra,4
Kusa,Ambarisha,1
Kusa,Sunahsepha,2
Udavasu,Mithi,3
Udavasu,Janaka,2
Udavasu,Nandivardhana,2
Udavasu,Suketu,4
Udavasu,Devarata,1
Shiva,Kartikeya,4
Shiva,Visakhu,3
Shiva,Sarayu,1
Shiva,Raghu,3
Shiva,Rama,23
Shiva,Ganga,23
Shiva,Parvati,14
Shiva,Brahma,4
Shiva,Himavan,6
Shiva,Varuna,1
Shiva,Sagara,1
Shiva,Bhagiratha,5
Shiva,Sona,1
Shiva,Bindusara,1
Shiva,Vishnu,13
Shiva,Viswamitra,4
Shiva,Rajarshi,2
Shiva,Nimi,1
Shiva,Daksha,2
Shiva,Sudhanva,1
Shiva,Janaka,2
Shiva,Sita,1
Shiva,Tripura,5
Dundhumara,Anaranya,1
Dundhumara,Prithu,1
Dundhumara,Trishanku,2
Dundhumara,Yuvanashva,1
Dundhumara,Mandhata,2
Dundhumara,Susandhi,1
Pushkara,Viswamitra,6
Pushkara,Rama,1
Pushkara,Ambarisha,5
Pushkara,Sunahsepha,2
Pushkara,Menaka,2
Pushkara,Kusika,1
Sarchirmali,Vishnu,7
Sarchirmali,Mahanabha,7
Sarchirmali,Dundunabha,7
Sarchirmali,Sunabha,7
Sarchirmali,Krusana,7
Sarchirmali,Nairasya,7
Sarchirmali,Vimala,7
Sarchirmali,Yogandhara,7
Sarchirmali,Haridradaitya,7
Sarchirmali,Prasamana,7
Sarchirmali,Dhri,7
Sarchirmali,Mali,7
Sarchirmali,Vrtimanta,7
Sarchirmali,Ruchira,7
Sarchirmali,Pitrusaumanasa,7
Sarchirmali,Makara,7
Sarchirmali,Kara,7
Sarchirmali,Dhana,7
Sarchirmali,Dhanya,7
Sarchirmali,Roopa,7
Sarchirmali,Kamaruchi,7
Bhadra,Mandra,8
Bhadra,Mriga,7
Bhadra,Dasharatha,2
Bhadra,Rama,1
Prasenajit,Mandhata,2
Prasenajit,Susandhi,1
Prasenajit,Dhruvasandhi,2
Prasenajit,Bharata,1
Prasenajit,Asita,1
Sumantra,Rama,7
Sumantra,Guha,3
Sumantra,Sita,3
Sumantra,Lakshmana,3
Sumantra,Ganga,2
Sumantra,Dasharatha,10
Sumantra,Dhrishta,1
Sumantra,Jayanta,1
Sumantra,Vijaya,1
Sumantra,Siddhartha,1
Sumantra,Mantrapala,1
Sumantra,Vasishta,8
Sumantra,Vamadeva,5
Sumantra,Suyajna,4
Sumantra,Jabali,4
Sumantra,Kasyapa,5
Sumantra,Sanatkumara,2
Sumantra,Romapada,1
Sumantra,Janaka,1
Yogandhara,Ravana,7
Yogandhara,Satodara,7
Yogandhara,Vishnu,7
Yogandhara,Mahanabha,7
Yogandhara,Dundunabha,7
Yogandhara,Sunabha,7
Yogandhara,Krusana,7
Yogandhara,Nairasya,7
Yogandhara,Vimala,7
Yogandhara,Haridradaitya,7
Yogandhara,Prasamana,7
Yogandhara,Dhri,7
Yogandhara,Mali,7
