Source,Target,Weight
Vali,Sugriva,11
Vali,Hanuman,1
Vali,Angada,1
Dvivida,Sushena,6
Tara,Hanuman,1
Tara,Lakshmana,2
Tara,Sugriva,1
Gaja,Gavaksha,2
Dharma,Lakshmana,1
Gavaya,Sarabha,12
Agastya,Sita,2
Rama,Lakshmana,15
Rama,Sugriva,24
Rama,Hanuman,3
Rama,Danu,1
Rama,Vali,1
Rama,Tara,1
Rama,Angada,1
Rama,Janaka,1
Sampati,Angada,2
Lakshmana,Sugriva,7
Lakshmana,Hanuman,2
Lakshmana,Rama,4
Lakshmana,Angada,1
Lakshmana,Tara,3
Lakshmana,Suparshva,1
Sugriva,Danu,1
Sugriva,Rama,17
Sugriva,Lakshmana,7
Sugriva,Hanuman,5
Sugriva,Tara,1
Sugriva,Nila,4
Sugriva,Satabali,1
Himavan,Dundubhi,1
Mainda,Dvivida,12
Gavaksha,Gavaya,2
Yama,Sita,2
Janaka,Lakshmana,1
Danu,Sugriva,1
Sita,Lakshmana,2
Sita,Danu,1
Sita,Sugriva,2
Sita,Janaka,1
Jambavan,Gaja,1
Jambavan,Angada,3
Jambavan,Hanuman,1
Hanuman,Sugriva,1
Hanuman,Rama,2
Angada,Vali,3
Angada,Tara,1
Angada,Lakshmana,2
Angada,Sugriva,1
Angada,Hanuman,1
Angada,Jambavan,1
Malyavan,Lakshmana,1
Sumitra,Tara,1
Dasharatha,Lakshmana,1
Sushena,Gavaya,10
Indra,Rama,1
