Source,Target,Weight
Indrajit,Rambha,1
Prasravana,Sugriva,11
Prasravana,Rama,11
Prasravana,Lakshmana,4
Prasravana,Sita,4
Prasravana,Vinita,1
Prasravana,Sushena,1
Kama,Rama,5
Kama,Sita,1
Kama,Manasa,1
Maharuna,Maireya,8
Shukra,Brahma,1
Shukra,Maya,4
Shukra,Angada,5
Shukra,Tara,3
Shukra,Indra,3
Shukra,Hanuman,2
Nila,Lakshmana,8
Nila,Rama,1
Nila,Hanuman,11
Nila,Nala,5
Nila,Tara,10
Nila,Vali,3
Nila,Sugriva,13
Nila,Kumuda,4
Nila,Sushena,4
Nila,Jambavan,13
Nila,Dadhimukha,4
Nila,Supatala,4
Nila,Sunetra,4
Nila,Brahma,4
Nila,Suhotra,9
Nila,Sarari,4
Nila,Saragulma,4
Nila,Gaja,4
Nila,Angada,8
Nila,Sama,2
Nila,Dana,2
Nila,Bheda,2
Dhumra,Maireya,8
Dharma,Vali,9
Dharma,Lakshmana,4
Dharma,Tara,5
Dharma,Sugriva,4
Dadhimukha,Nala,4
Dadhimukha,Kumuda,5
Dadhimukha,Sushena,4
Dadhimukha,Lakshmana,4
Dadhimukha,Tara,8
Dadhimukha,Jambavan,4
Dadhimukha,Supatala,4
Dadhimukha,Sunetra,4
Dadhimukha,Sugriva,1
Dadhimukha,Sarabha,1
Tara,Vali,184
Tara,Lakshmana,48
Tara,Rama,45
Tara,Hanuman,24
Tara,Nala,5
Tara,Sugriva,82
Tara,Indra,6
Tara,Angada,50
Tara,Bharata,1
Tara,Garuda,1
Tara,Sushena,15
Tara,Yama,2
Tara,Sumitra,2
Tara,Veerabahu,4
Tara,Subahu,4
Tara,Kumuda,4
Tara,Jambavan,11
Tara,Supatala,8
Tara,Sunetra,8
Tara,Ruma,5
Tara,Ravana,1
Tara,Sita,1
Tara,Satabali,1
Tara,Agastya,2
Tara,Vinata,1
Tara,Gaja,3
Tara,Gavaksha,3
Tara,Gavaya,3
Tara,Sarabha,3
Tara,Mainda,3
Tara,Dvivida,3
Tara,Sona,1
Hema,Indra,1
Hema,Maya,1
Hema,Brahma,1
Hema,Svayamprabha,3
Hema,Manu,2
Agastya,Kunjara,1
Agastya,Vishwakarma,2
Agastya,Hanuman,3
Agastya,Angada,4
Agastya,Vinata,1
Agastya,Sushena,1
Agastya,Yama,2
Agastya,Sita,2
Rama,Lakshmana,287
Rama,Sita,240
Rama,Pampa,13
Rama,Bharata,8
Rama,Ganga,2
Rama,Raghu,12
Rama,Indra,41
Rama,Janaka,14
Rama,Kausalya,3
Rama,Dasharatha,56
Rama,Ravana,48
Rama,Sugriva,678
Rama,Vali,226
Rama,Hanuman,79
Rama,Brahma,5
Rama,Diti,1
Rama,Danu,1
Rama,Ikshvaku,9
Rama,Jatayu,19
Rama,Vishnu,3
Rama,Madhu,1
Rama,Kaitabha,1
Rama,Kartikeya,2
Rama,Ruma,4
Rama,Sala,2
Rama,Dundubhi,2
Rama,Varuna,9
Rama,Matanga,1
Rama,Gajapushpi,1
Rama,Nala,1
Rama,Vaidurya,1
Rama,Saptajana,2
Rama,Angada,37
Rama,Khara,1
Rama,Yama,2
Rama,Sramana,1
Rama,Mandhata,1
Rama,Garuda,3
Rama,Sumitra,1
Rama,Malyavan,2
Rama,Sarayu,1
Rama,Rohini,2
Rama,Anuhlada,1
Rama,Hiranyakasipu,1
Rama,Prahlada,1
Rama,Sachi,3
Rama,Puloma,1
Rama,Vinata,2
Rama,Satabali,1
Rama,Himavan,1
Rama,Kala,1
Rama,Sushena,1
Rama,Svayamprabha,1
Rama,Kaikeyi,5
Rama,Sampati,1
Rama,Jambavan,1
Rama,Arishta,1
Rama,Kasyapa,1
Shiva,Himavan,5
Ruma,Vali,8
Ruma,Sugriva,18
Ruma,Angada,7
Ruma,Indra,1
Ruma,Lakshmana,2
Ruma,Ravana,1
Ruma,Sita,1
Ruma,Kesari,1
Darimukha,Gavaya,1
Darimukha,Sugriva,1
Darimukha,Mainda,1
Saraswati,Sarayu,4
Saraswati,Kausiki,4
Saraswati,Kalindi,4
Saraswati,Yamuna,4
Saraswati,Sindhu,4
Saraswati,Sona,4
Saraswati,Mahim,4
Saraswati,Kalamahi,4
Mandhata,Sramana,1
Asvavanti,Varada,3
Asvavanti,Mahabhaga,3
Asvavanti,Mekhala,3
Asvavanti,Sita,3
Asvavanti,Rishika,1
Devasakha,Sudarshana,1
Devasakha,Ravana,1
Vayu,Kesari,3
Vayu,Hanuman,9
Vayu,Garuda,3
Vayu,Sita,1
Kasyapa,Lakshmana,1
Kasyapa,Arishta,1
Kasyapa,Vinata,1
Kasyapa,Garuda,2
Vajra,Vaidurya,2
Khara,Vali,1
Danu,Diti,1
Danu,Sugriva,2
Danu,Sita,1
Suryavan,Sita,1
Rishika,Sita,2
Rishika,Mashaka,2
Rishika,Viswamitra,2
Kunjara,Sita,2
Golabha,Vali,7
Manu,Svayamprabha,1
Sweta,Vali,1
Sweta,Sita,1
Sweta,Aswatari,1
Sweta,Hayagriva,2
Sweta,Vishnu,1
Sweta,Madhu,1
Bheda,Hanuman,4
Bheda,Sama,4
Bheda,Dana,4
Bheda,Danda,4
Bheda,Suhotra,2
Bheda,Sugriva,2
Suryaksha,Lakshmana,8
Suryaksha,Angada,4
Suryaksha,Mainda,4
Suryaksha,Dvivida,4
Suryaksha,Gavaya,4
Suryaksha,Gavaksha,4
Suryaksha,Gaja,4
Suryaksha,Sarabha,4
Suryaksha,Vidyunmali,4
Suryaksha,Sampati,4
Suryaksha,Hanuman,4
Suryaksha,Veerabahu,4
Suryaksha,Subahu,4
Suryaksha,Nala,4
Suryaksha,Kumuda,4
Suryaksha,Sushena,4
Dasharatha,Lakshmana,15
Dasharatha,Bharata,1
Dasharatha,Hanuman,3
Dasharatha,Sita,11
Dasharatha,Ikshvaku,6
Dasharatha,Vali,11
Dasharatha,Indra,4
Dasharatha,Angada,2
Dasharatha,Sugriva,7
Dasharatha,Svayamprabha,1
Dasharatha,Varuna,2
Dasharatha,Ravana,1
Dasharatha,Jatayu,8
Dasharatha,Sampati,2
Dasharatha,Janaka,2
Danda,Hanuman,3
Danda,Sama,3
Danda,Dana,3
Danda,Sugriva,2
Danda,Angada,1
Anuhlada,Sugriva,3
Anuhlada,Hiranyakasipu,1
Anuhlada,Prahlada,1
Anuhlada,Sachi,2
Anuhlada,Puloma,1
Maya,Mainaka,2
Maya,Vishwakarma,2
Maya,Brahma,1
Maya,Indra,1
Supatala,Nala,4
Supatala,Kumuda,4
Supatala,Sushena,4
Supatala,Lakshmana,7
Supatala,Jambavan,4
Supatala,Sunetra,4
Kalamahi,Yamuna,4
Kalamahi,Sindhu,4
Kalamahi,Sona,4
Kalamahi,Mahim,4
Kuru,Sugriva,1
Sigru,Sailusha,2
Sigru,Gramani,2
Sigru,Subhra,2
Sigru,Babhru,2
Raghu,Lakshmana,2
Raghu,Sita,1
Raghu,Sugriva,5
Raghu,Hanuman,4
Raghu,Jatayu,3
Ikshvaku,Lakshmana,5
Ikshvaku,Sugriva,3
Ikshvaku,Bharata,1
Ikshvaku,Vali,1
Rahu,Sugriva,2
Rahu,Vali,1
Gaja,Gavaya,20
Gaja,Sarabha,15
Gaja,Mainda,20
Gaja,Dvivida,21
Gaja,Hanuman,14
Gaja,Jambavan,18
Gaja,Nala,10
Gaja,Sugriva,8
Gaja,Lakshmana,8
Gaja,Angada,9
Gaja,Gavaksha,17
