Id,Eigenvector_Centrality,Active_In_Kanda
Indrajit,2.2149768342524146e-42,True
Prasravana,0.013246707375950897,True
Kama,0.0027492668642082867,True
Maharuna,1.2933972340141642e-30,True
Shukra,0.0013516682321393979,True
Nila,0.014487723371704475,True
Dhumra,1.2933972340141642e-30,True
Dharma,0.006855016142355107,True
Dadhimukha,0.0029341491478664847,True
Tara,0.15016876495689926,True
Hema,6.589195019967043e-05,True
Agastya,0.001379447579919961,True
Rama,0.5762431351761387,True
Shiva,1.4603694981472401e-05,True
Ruma,0.01648132970817211,True
Darimukha,0.0005461098942142129,True
Saraswati,1.4417688311809053e-05,True
Mandhata,0.0005186606451316564,True
Asvavanti,0.00047646876110485906,True
Devasakha,4.681621688966509e-05,True
Vayu,0.0011806841320044358,True
Maireya,1.8736405601154757e-30,True
Kasyapa,0.0008006207238523425,True
Vajra,1.4200757421291122e-06,True
Khara,0.0008492083483871026,True
Danu,0.0017353603181293254,True
Suryavan,0.00015829384658023874,True
Rishika,0.00032104333284692425,True
Kunjara,0.00031782825215461455,True
Golabha,0.0023170993268425764,True
Manu,8.255720995765994e-07,True
Sweta,0.0004972706484054605,True
Bheda,0.001561320252687377,True
Suryaksha,0.003386583818837432,True
Dasharatha,0.04321848831732584,True
Danda,0.001516763136059623,True
Anuhlada,0.0021114205917503073,True
Maya,6.923144876378346e-05,True
Supatala,0.0032057934392047795,True
Kalamahi,3.765559101646458e-06,True
Kuru,0.0005288749386662289,True
Sigru,1.391736108299717e-32,True
Raghu,0.010054762821052537,True
Ikshvaku,0.00817672804041848,True
Rahu,0.0013887640668813971,True
Gaja,0.010805897329737519,True
Vishnu,0.004557582054313758,True
Meghavan,0.000175899499841268,True
Manasa,2.4726817476124883e-06,True
Vrishabam,0.0012083978142123938,True
Rohini,0.0018818509495030324,True
Arishta,0.000796697038872061,True
Varuna,0.007222947226932589,True
Mainda,0.010193174573856953,True
Mainaka,0.00031671221422554407,True
Namuchi,0.0010516757352605744,True
Kesari,0.0012224149228685758,True
Kubera,4.701724817468505e-05,True
Vishnupada,1.2296351820102657e-05,True
Sama,0.0019802061981517064,True
Diti,0.0012480758031826844,True
Suparshva,0.00027128482953183705,True
Janaka,0.011776477988719516,True
Kalindi,0.0006452967159020639,True
Panchajana,0.00021030728325665448,True
Yayati,0.0013240567581957578,True
Jambavan,0.01900314184542643,True
Karnikara,0.00016791063922579766,True
Mashaka,0.0003206156379050708,True
Samhbu,9.172648424897822e-06,True
Hemagiri,7.535191913323492e-09,True
Sarayu,0.0016849775191508558,True
Jatarupasila,2.2149768342524146e-42,True
Sala,0.0037031567339836534,True
Dana,0.001480720809136679,True
Murachi,7.258036090478312e-38,True
Sindhu,8.378271565948951e-06,True
Kilasa,0.00020511002560562476,True
Rambha,2.2149768342524146e-42,True
Yamuna,1.4417688311809053e-05,True
Subahu,0.0029117097060150066,True
Svayamprabha,0.0007861627169791504,True
Ravana,0.05205654303608676,True
Babhru,1.391736108299717e-32,True
Vaidurya,0.0007894815423427399,True
Saravati,0.0004865644957258942,True
Gavaya,0.008971751670359287,True
Shravana,0.0005288749386662289,True
Ganga,0.0010460051103218853,True
Jata,7.258036090478312e-38,True
Sampati,0.006350976973051145,True
Kaitabha,0.0013913964033244104,True
Somagiri,0.0005925819697648485,True
Kumuda,0.0036287502202085723,True
Lakshmana,0.3016533206640983,True
Sugriva,0.58804635854869,True
Himavan,0.0032476611414645,True
Sudarshana,4.210173889503236e-08,True
