Source,Target,Weight
Sachi,Mainaka,1
Ravana,Sita,1
Ravana,Prahasta,1
Ravana,Hanuman,1
Vali,Hanuman,1
Vikata,Ravana,2
Dadhimukha,Hanuman,1
Dadhimukha,Lakshmana,3
Dadhimukha,Sugriva,2
Jatayu,Sita,1
Bana,Prahasta,1
Rama,Hanuman,3
Rama,Sita,3
Rama,Devi,1
Rama,Sugriva,3
Shiva,Prahasta,1
Vibhishana,Hanuman,1
Vibhishana,Ravana,1
Aruna,Sita,1
Sampati,Sita,2
Vayu,Rama,1
Lakshmana,Hanuman,1
Lakshmana,Sita,1
Lakshmana,Sugriva,2
Lakshmana,Dadhimukha,2
Sugriva,Hanuman,2
Sugriva,Vali,1
Sugriva,Dadhimukha,2
Sugriva,Lakshmana,1
Surasa,Hanuman,3
Surasa,Dakshayani,1
Ajamukhi,Sita,1
Sunabha,Mainaka,1
Kesari,Hanuman,2
Vinata,Sita,1
Janaka,Sita,1
Janaka,Hanuman,1
Janaka,Rama,1
Sita,Hanuman,11
Sita,Ravana,5
Sita,Praghasa,1
Sita,Sugriva,1
Sita,Rama,5
Sita,Devi,1
Sita,Angada,2
Jambavan,Sita,1
Hanuman,Sita,11
Hanuman,Rama,5
Hanuman,Devi,1
Hanuman,Ravana,2
Hanuman,Angada,3
Angada,Sita,1
Angada,Jambavan,2
Gokarna,Hanuman,1
Malyavan,Hanuman,1
Nandi,Prahasta,1
Indra,Mainaka,1
Indra,Angada,1
