Source,Target,Weight
Chudamani,Sita,10
Chudamani,Ravana,1
Chudamani,Hanuman,3
Chudamani,Rama,13
Chudamani,Lakshmana,1
Indrajit,Suka,1
Indrajit,Sarana,2
Indrajit,Jambumali,4
Indrajit,Sumali,2
Indrajit,Rashmiketu,1
Indrajit,Vighana,3
Indrajit,Sukanasa,3
Indrajit,Vakra,3
Indrajit,Shatha,3
Indrajit,Vikata,3
Indrajit,Brahmakarna,3
Indrajit,Damshtra,3
Indrajit,Romasa,3
Indrajit,Yuddhonmatta,3
Indrajit,Matta,3
Indrajit,Dhvajagriva,3
Indrajit,Nadi,3
Indrajit,Vidyujihva,3
Indrajit,Hastimukha,3
Indrajit,Karala,3
Indrajit,Pisacha,3
Indrajit,Sonitaksha,3
Indrajit,Hanuman,21
Indrajit,Dhumraksha,2
Indrajit,Sampati,2
Indrajit,Vidyudrupa,2
Indrajit,Bhima,2
Indrajit,Ghana,2
Indrajit,Ravana,30
Indrajit,Kumbhakarna,1
Indrajit,Aksha,2
Indrajit,Indra,13
Indrajit,Brahma,4
Indrajit,Daksha,2
Indrajit,Garuda,1
Prasravana,Ravana,2
Prasravana,Hanuman,2
Prasravana,Sita,7
Prasravana,Rama,5
Prasravana,Indra,2
Prasravana,Lakshmana,3
Prasravana,Sugriva,2
Mandodari,Sita,1
Mandodari,Hanuman,1
Mandodari,Ravana,2
Mandodari,Aksha,1
Kama,Hanuman,3
Kama,Dharma,1
Kama,Rama,3
Kama,Brihaspati,1
Kama,Kubera,1
Nila,Angada,1
Nila,Vali,1
Nila,Sugriva,3
Nila,Hanuman,1
Nila,Janaka,1
Nila,Sita,1
Nila,Jambavan,3
Nila,Ravana,2
Nila,Dvivida,2
Nila,Panasa,1
Dhumraksha,Rashmiketu,1
Dhumraksha,Suryaketu,1
Dhumraksha,Vajrakaya,1
Dhumraksha,Hanuman,3
Dhumraksha,Sampati,3
Dhumraksha,Vidyudrupa,3
Dhumraksha,Bhima,3
Dhumraksha,Ghana,3
Dhumraksha,Vighana,3
Dhumraksha,Sukanasa,3
Dhumraksha,Vakra,3
Dhumraksha,Shatha,3
Dhumraksha,Vikata,3
Dhumraksha,Brahmakarna,3
Dhumraksha,Damshtra,3
Dhumraksha,Romasa,3
Dhumraksha,Yuddhonmatta,3
Dhumraksha,Matta,3
Dhumraksha,Dhvajagriva,2
Dhumraksha,Nadi,2
