Source,Target,Weight
Indrajit,Rama,2
Indrajit,Sona,1
Indrajit,Hanuman,3
Indrajit,Lakshmana,2
Indrajit,Vibhishana,1
Yamuna,Hanuman,1
Mandodari,Vibhishana,2
Vasishta,Sita,1
Ravana,Mahaparshva,1
Ravana,Vibhishana,5
Ravana,Sugriva,3
Ravana,Rama,8
Ravana,Suka,2
Ravana,Sarana,2
Ravana,Mahodara,13
Ravana,Shardula,2
Ravana,Vidyujihva,3
Ravana,Sita,6
Ravana,Malyavan,2
Ravana,Indrajit,5
Ravana,Vajradamshtra,4
Ravana,Prahasta,1
Ravana,Vali,1
Ravana,Hanuman,1
Ravana,Nila,1
Ravana,Kumbhakarna,4
Ravana,Brahma,1
Ravana,Lakshmana,2
Ravana,Indra,1
Ravana,Matali,1
Nila,Rama,1
Narantaka,Angada,1
Narantaka,Mahodara,1
Sarvakarani,Hanuman,1
Trishira,Ravana,1
Trishira,Mahodara,1
Sandhani,Hanuman,1
Vali,Rama,1
Raghu,Sugriva,1
Raghu,Sita,1
Suka,Rama,1
Suka,Sugriva,1
Suka,Ravana,1
Tara,Rama,1
Tara,Sugriva,1
Bharata,Hanuman,1
Bharata,Sugriva,1
Bharata,Pushpaka,1
Agastya,Matali,1
Brahma,Kumbhakarna,2
Brahma,Matali,1
Rama,Hanuman,9
Rama,Sugriva,8
Rama,Sita,10
Rama,Lakshmana,23
Rama,Vibhishana,22
Rama,Varuna,1
Rama,Shardula,1
Rama,Ravana,3
Rama,Yama,2
Rama,Nila,1
Rama,Kumbhakarna,2
Rama,Indrajit,1
Rama,Jambavan,1
Rama,Sushena,2
Rama,Matali,3
Rama,Indra,1
Rama,Brahma,2
Rama,Shiva,3
Rama,Dasharatha,1
Rama,Pushpaka,1
Shiva,Sugriva,1
Ganga,Rama,6
Ganga,Hanuman,1
Vibhishana,Rama,15
Vibhishana,Sugriva,4
Vibhishana,Mainda,3
Vibhishana,Kandu,1
Vibhishana,Yama,1
Vibhishana,Nila,1
Vibhishana,Hanuman,1
Vibhishana,Lakshmana,2
Vibhishana,Ravana,1
Prahasta,Vibhishana,1
Atikaya,Lakshmana,1
Atikaya,Dhumraksha,1
Devantaka,Mahodara,1
Vayu,Lakshmana,1
Lakshmana,Nila,1
Lakshmana,Rama,15
Lakshmana,Sugriva,2
Lakshmana,Devi,1
Lakshmana,Ravana,1
Lakshmana,Atikaya,1
Lakshmana,Dhumraksha,1
Lakshmana,Indrajit,3
Lakshmana,Hanuman,2
Sugriva,Nila,1
Sugriva,Rama,17
Sugriva,Vibhishana,3
Sugriva,Lakshmana,4
Sugriva,Ravana,1
Sugriva,Kumbhakarna,2
Sugriva,Angada,1
Sugriva,Indrajit,1
Sugriva,Sita,1
Sugriva,Shatrughna,2
Sugriva,Bharata,1
Kumbhakarna,Ravana,4
Kumbhakarna,Vibhishana,1
Kumbhakarna,Brahma,1
Kumbhakarna,Rama,1
Sushena,Lakshmana,1
Sushena,Hanuman,2
Guha,Hanuman,1
Mahodara,Vibhishana,1
Mahodara,Kumbhakarna,1
Mahodara,Ravana,2
Kubera,Ravana,1
Yupaksha,Kumbhakarna,1
Makaraksha,Rama,2
Vinata,Rama,1
Sumantra,Shatrughna,1
Nikumbha,Ravana,1
Kaikeyi,Rama,2
Mrtasanjivani,Hanuman,1
Yama,Vibhishana,1
Pushpaka,Sugriva,1
Pushpaka,Sita,1
Pushpaka,Hanuman,1
Shardula,Suka,1
Bharadwaja,Bharata,1
Janaka,Sita,3
Sita,Vibhishana,1
Sita,Ravana,2
Sita,Shardula,2
Sita,Vidyujihva,1
Sita,Devi,2
Sita,Indrajit,1
Sita,Lakshmana,2
Sita,Rama,5
Sita,Hanuman,3
Jambavan,Hanuman,3
Sarana,Sita,1
Sarana,Ravana,1
Paka,Rama,1
Hanuman,Sugriva,1
Hanuman,Rama,6
Hanuman,Vibhishana,4
Hanuman,Ravana,3
Hanuman,Kumbhakarna,2
Hanuman,Lakshmana,1
Hanuman,Indrajit,1
Hanuman,Sita,7
Hanuman,Bharata,1
Trijata,Devi,1
Angada,Nala,1
Angada,Vali,1
Dasharatha,Vibhishana,1
Dasharatha,Suka,1
Dasharatha,Indra,1
Dasharatha,Rama,1
Dasharatha,Lakshmana,1
Dasharatha,Sugriva,1
Malyavan,Ravana,1
Sindhu,Rama,6
Indra,Vibhishana,1
Indra,Matali,1
Indra,Rama,2
Savarankarani,Hanuman,1
