Source,Target,Weight
Chudamani,Sita,6
Chudamani,Rama,3
Indrajit,Ravana,126
Indrajit,Shiva,4
Indrajit,Suptaghna,5
Indrajit,Yagnaha,5
Indrajit,Mahaparshva,9
Indrajit,Mahodara,9
Indrajit,Durdarsha,5
Indrajit,Agniketu,5
Indrajit,Rashmiketu,5
Indrajit,Virupaksha,5
Indrajit,Prahasta,10
Indrajit,Vajradamshtra,5
Indrajit,Dhumraksha,5
Indrajit,Durmukha,5
Indrajit,Kumbhakarna,7
Indrajit,Indra,28
Indrajit,Nikumbha,3
Indrajit,Kumbha,1
Indrajit,Atikaya,3
Indrajit,Trishira,1
Indrajit,Rama,108
Indrajit,Mahamaya,2
Indrajit,Suka,1
Indrajit,Sarana,1
Indrajit,Angada,16
Indrajit,Vali,3
Indrajit,Prajangha,1
Indrajit,Sampati,1
Indrajit,Lakshmana,188
Indrajit,Sugriva,10
Indrajit,Vibhishana,43
Indrajit,Sushena,2
Indrajit,Yama,8
Indrajit,Brahma,9
Indrajit,Nila,9
Indrajit,Mainda,9
Indrajit,Dvivida,8
Indrajit,Jambavan,4
Indrajit,Hanuman,34
Indrajit,Gavaksha,5
Indrajit,Sarabha,2
Indrajit,Golangula,1
Indrajit,Dasharatha,3
Indrajit,Sita,35
Indrajit,Trijata,2
Indrajit,Pushpaka,1
Indrajit,Varuna,6
Indrajit,Garuda,1
Indrajit,Kadru,1
Indrajit,Vishnu,4
Indrajit,Mitra,2
Indrajit,Agni,2
Indrajit,Sona,1
Indrajit,Nala,7
Indrajit,Gaja,2
Indrajit,Rishabha,2
Indrajit,Vidyuddhamshtra,3
Indrajit,Suryanana,3
Indrajit,Jyothimukha,4
Indrajit,Dadhimukha,3
Indrajit,Pavaksha,3
Indrajit,Kumuda,4
Indrajit,Vegadarsa,1
Indrajit,Ahuka,1
Indrajit,Panasa,1
Indrajit,Vritra,1
Indrajit,Mandodari,3
Indrajit,Kubera,1
Indrajit,Khara,1
Indrajit,Narantaka,1
Indrajit,Vidyunmali,1
Indrajit,Vikata,1
Mahapadma,Vrinda,5
Mahapadma,Padmas,5
Mahapadma,Samudra,5
Mahapadma,Ogha,5
Mahapadma,Airavata,3
Mahapadma,Saarvabhauma,3
Mahapadma,Mahaparshva,2
Mahapadma,Matta,1
Ahuka,Vibhishana,3
Ahuka,Hanuman,3
Ahuka,Sugriva,2
Ahuka,Angada,2
Ahuka,Nila,2
Ahuka,Sarabha,2
Ahuka,Gavaksha,2
Ahuka,Sushena,2
Ahuka,Vegadarsa,2
Ahuka,Mainda,2
Ahuka,Nala,2
Ahuka,Jyothimukha,2
Ahuka,Dvivida,2
Ahuka,Panasa,2
Shukra,Parasurama,2
Shukra,Dhruva,1
Nila,Angada,29
Nila,Dvivida,35
Nila,Mainda,32
Nila,Jambavan,26
Nila,Panasa,12
Nila,Nala,22
Nila,Ravana,49
Nila,Sugriva,21
Nila,Lakshmana,8
Nila,Rama,22
Nila,Rishabha,16
Nila,Kumuda,21
Nila,Satabali,6
Nila,Gaja,10
Nila,Gavaksha,22
Nila,Gavaya,3
Nila,Indra,11
Nila,Hanuman,33
Nila,Sushena,20
Nila,Sarabha,19
Nila,Prahasta,31
Nila,Vibhishana,8
Nila,Shiva,4
Nila,Rambhu,4
Nila,Durmukha,4
Nila,Sadala,4
Nila,Mitraghna,1
Nila,Tapa,1
Nila,Nikumbha,2
Nila,Praghasa,1
Nila,Vishnu,1
Nila,Vinata,2
Nila,Sanuprastha,5
Nila,Gava,3
Nila,Rambha,4
Nila,Prithu,3
Nila,Golangula,1
Nila,Sala,2
Nila,Aswakarna,1
Nila,Mahabala,1
Nila,Vali,1
Nila,Tara,1
Nila,Kumbhakarna,6
Nila,Trishira,5
Nila,Mahodara,5
Nila,Atikaya,3
Nila,Vegadarsa,6
Nila,Vidyuddhamshtra,4
Nila,Suryanana,4
Nila,Jyothimukha,7
Nila,Dadhimukha,4
Nila,Pavaksha,4
Nila,Virupaksha,2
Nila,Mahaparshva,2
Nila,Akampana,2
Nila,Bharata,4
Nila,Kaikeyi,1
Ogha,Samudra,13
Ogha,Sanku,15
Ogha,Shanka,3
Ogha,Vibhishana,5
Tamasa,Ravana,1
Tamasa,Brahma,1
Takshaka,Ravana,2
Takshaka,Vasuki,1
Takshaka,Shanka,1
Takshaka,Jati,1
Takshaka,Sita,1
Kanva,Rama,1
Kanva,Kandu,1
Kusa,Rama,3
Kusa,Sugriva,1
Kusa,Lakshmana,1
Vidyujihva,Ravana,12
Vidyujihva,Sita,6
Vidyujihva,Janaka,1
Vidyujihva,Rama,5
Vidyujihva,Arigna,5
Vidyujihva,Vikata,5
Vidyujihva,Tapana,5
Vidyujihva,Dama,5
Vidyujihva,Praghasa,10
Vidyujihva,Prajaghna,6
Vidyujihva,Jaghan,5
Vidyujihva,Durdarsha,5
Vidyujihva,Agniketu,5
Vidyujihva,Rashmiketu,5
Vidyujihva,Dwijihva,5
Vidyujihva,Suryasatru,6
Vidyujihva,Akampana,5
Vidyujihva,Suparshva,5
Vidyujihva,Chakramali,5
Vidyujihva,Kampana,5
Vidyujihva,Devantaka,5
Vidyujihva,Narantaka,5
Vidyujihva,Sonitaksha,1
Vidyujihva,Dvivida,1
Vidyujihva,Yupaksha,1
Vidyujihva,Mainda,1
Vidyujihva,Angada,1
Vidyujihva,Yagnasatru,1
Vidyujihva,Suptaghna,1
Shiva,Ravana,21
Shiva,Kubera,3
Shiva,Brahma,10
Shiva,Indra,9
Shiva,Rama,26
Shiva,Sugriva,6
Shiva,Vibhishana,2
Shiva,Hanuman,6
Shiva,Angada,5
Shiva,Mainda,6
Shiva,Dvivida,6
Shiva,Panasa,4
Shiva,Kumuda,4
Shiva,Rambhu,4
Shiva,Jambavan,5
Shiva,Sushena,4
Shiva,Rishabha,5
Shiva,Durmukha,4
Shiva,Satabali,4
Shiva,Vali,1
Shiva,Sampati,1
Shiva,Yama,4
Shiva,Dasharatha,5
Shiva,Kumbhakarna,1
Shiva,Narantaka,1
Shiva,Devantaka,1
Shiva,Kala,1
Shiva,Maya,2
Shiva,Rajathanabha,1
Shiva,Tripura,1
Shiva,Hayagriva,1
Shiva,Kumbha,1
Shiva,Varuna,6
Shiva,Lakshmana,3
Shiva,Vishnu,3
Shiva,Chandra,1
Shiva,Bharata,3
Shiva,Kausalya,2
Shiva,Kaikeyi,2
Shiva,Sumitra,2
Daana,Sama,1
Daana,Bedha,1
Kampana,Kumbha,1
Kampana,Nikumbha,5
Kampana,Kumbhakarna,2
Kampana,Yupaksha,1
Kampana,Sonitaksha,5
Kampana,Prajangha,1
Kampana,Ravana,1
Kampana,Angada,9
Kampana,Durdarsha,5
Kampana,Agniketu,5
Kampana,Rashmiketu,5
Kampana,Dwijihva,5
