Id,Eigenvector_Centrality,Active_In_Kanda
Chudamani,0.002117611135264279,True
Indrajit,0.12544888623043676,True
Mahapadma,1.784533014173595e-05,True
Ahuka,0.0011245409278358449,True
Shukra,9.435299658528829e-08,True
Nila,0.031823822673480016,True
Ogha,0.0007246520177554614,True
Tamasa,0.00026577941761538103,True
Takshaka,0.0006812247418802056,True
Kanva,0.0003309591930554761,True
Kusa,0.001296299674941163,True
Vidyujihva,0.005874935772913934,True
Shiva,0.017770820753269308,True
Daana,4.130160373412734e-50,True
Kampana,0.000764078480786319,True
Agniketu,0.003612696202025333,True
Sumantra,6.814531502797829e-06,True
Samunnata,0.00010901098766420879,True
Kumbha,0.009008405097665113,True
Sweta,0.0004353377878867819,True
Manu,0.001466853487315768,True
Mahamaya,0.001199264374488874,True
Drumakulya,0.001983093191907269,True
Yuddhonmatta,0.0018558350373745521,True
Salveya,2.050179339225021e-05,True
Vedavati,0.0008809088939171719,True
Ikshvaku,0.006769308958263077,True
Rahu,0.004307542432451172,True
Atibala,0.0007847032944228156,True
Pushpalata,0.000804949051167615,True
Rishabha,0.009518665743451688,True
Jyothimukha,0.0021993309260053104,True
Mahanada,0.00011253481263535972,True
Sankochana,7.364668719826118e-05,True
Sannadana,0.0006645367991617538,True
Agni,0.001258985590643272,True
Pavaksha,0.0006143178994805734,True
Daksha,0.0005543483191163958,True
Mainaka,0.0004915276076445764,True
Sambara,0.0004691283293289363,True
Kubera,0.01787998964673453,True
Jambu,5.9096933399070734e-05,True
Yagnasatru,4.589296244343825e-05,True
Vrinda,0.00010320068557536,True
Dama,9.71581740582957e-05,True
Dana,4.130160373412734e-50,True
Madhavi,1.6519501643153045e-11,True
Sindhu,3.145823552609699e-06,True
Yamuna,0.0011449246755155919,True
Subahu,5.622832717040097e-06,True
Vajramushti,0.0003585558329434628,True
Tapana,9.71581740582957e-05,True
Ravana,0.4464230314383321,True
Trishira,0.011946067207038981,True
Vajradamshtra,0.004210183076526988,True
Saptaparni,0.00010092173154101597,True
Suka,0.01699617966305346,True
Gavaya,0.0003148950268148765,True
Budha,0.00041520938604916284,True
Chakramali,0.00010393612226162051,True
Jabali,0.0007198878618859585,True
Jayanta,2.215382667776117e-05,True
Aswakarna,0.0011484489558495172,True
Pramathi,0.00040228923877190406,True
Sugriva,0.183287802027147,True
Prajaghna,0.0009379496558964686,True
Simsupa,9.431024529162072e-09,True
Vasuki,0.0026796631032908985,True
Makara,5.1112346775226035e-05,True
Pampa,0.00785145049893922,True
Suryasatru,0.002564741309452779,True
Kahola,0.00045492440508046667,True
Mahamali,0.00045876900047367333,True
